#PERSON
Jane,Doe
#CUSTOMER
256987,this or that address
#GUEST
08055NL,29
#PERSON
John,Doob
#CUSTOMER
58,some place else
#GUEST
QQQ000,92
#PERSON
Doug,Star
#CUSTOMER
943246,erewhon 90210
#GUEST
nfgYt2,7
#PERSON
Lester,Smooth
#CUSTOMER
75632,jingle bells Strasse
#GUEST
UT567E,45
#PERSON
Jane,Doe
#CUSTOMER
256987,this or that address
#GUEST
08055NL,29
#PERSON
John,Doob
#CUSTOMER
58,some place else
#GUEST
QQQ000,92
#PERSON
Doug,Star
#CUSTOMER
943246,erewhon 90210
#GUEST
nfgYt2,7
#PERSON
Lester,Smooth
#CUSTOMER
75632,jingle bells Strasse
#GUEST
UT567E,45
#PERSON
pierre,ruiz
#CUSTOMER
1,this address
#PERSON
caroline,gallacher
#GUEST
08855NL,36
#PERSON
pierre,ruiz
#CUSTOMER
1,this address
#PERSON
caroline,gallacher
#GUEST
08855NL,36
